,eating_survey.cognitive_restraint,eating_survey.emotional_eating,eating_survey.uncontrolled_eating
s001,5.5555555556,0.0,18.5185185185
s002,16.6666666667,77.7777777778,70.3703703704
s003,50.0,11.1111111111,14.8148148148
s004,66.6666666667,0.0,25.925925925900003
s005,27.7777777778,0.0,40.740740740700005
s006,33.3333333333,0.0,0.0
s007,61.111111111099994,11.1111111111,33.3333333333
s008,0.0,100.0,77.7777777778
s009,66.6666666667,44.4444444444,62.962962963
s010,66.6666666667,33.3333333333,22.2222222222
s011,44.4444444444,55.5555555556,40.740740740700005
s012,27.7777777778,33.3333333333,66.6666666667
s013,44.4444444444,55.5555555556,25.925925925900003
s014,44.4444444444,33.3333333333,44.4444444444
s015,50.0,11.1111111111,11.1111111111
s016,50.0,0.0,22.2222222222
s017,44.4444444444,66.6666666667,48.148148148100006
s018,22.2222222222,66.6666666667,59.2592592593
s019,27.7777777778,11.1111111111,22.2222222222
s020,38.8888888889,44.4444444444,55.5555555556
s021,44.4444444444,77.7777777778,44.4444444444
s023,22.2222222222,11.1111111111,18.5185185185
s025,27.7777777778,77.7777777778,59.2592592593
s026,33.3333333333,33.3333333333,22.2222222222
s027,72.2222222222,66.6666666667,48.148148148100006
s028,66.6666666667,66.6666666667,51.851851851899994
s029,50.0,66.6666666667,33.3333333333
s030,33.3333333333,33.3333333333,40.740740740700005
s031,33.3333333333,33.3333333333,40.740740740700005
s032,27.7777777778,33.3333333333,48.148148148100006
s033,27.7777777778,22.2222222222,29.6296296296
s034,61.111111111099994,33.3333333333,59.2592592593
s035,55.5555555556,22.2222222222,25.925925925900003
s036,66.6666666667,22.2222222222,25.925925925900003
s037,22.2222222222,0.0,22.2222222222
s038,66.6666666667,33.3333333333,33.3333333333
s039,50.0,66.6666666667,18.5185185185
s040,66.6666666667,33.3333333333,51.851851851899994
s041,38.8888888889,88.8888888889,70.3703703704
s042,11.1111111111,11.1111111111,18.5185185185
s043,88.8888888889,33.3333333333,22.2222222222
s044,22.2222222222,66.6666666667,44.4444444444
s046,5.5555555556,33.3333333333,40.740740740700005
s047,5.5555555556,0.0,3.7037037037
s048,22.2222222222,0.0,11.1111111111
s049,61.111111111099994,33.3333333333,33.3333333333
s051,77.7777777778,0.0,14.8148148148
s052,27.7777777778,11.1111111111,14.8148148148
s053,61.111111111099994,55.5555555556,33.3333333333
s054,61.111111111099994,33.3333333333,51.851851851899994
s055,66.6666666667,66.6666666667,25.925925925900003
s056,44.4444444444,0.0,7.4074074074
s057,33.3333333333,33.3333333333,18.5185185185
s058,77.7777777778,0.0,7.4074074074
s059,38.8888888889,22.2222222222,18.5185185185
s060,66.6666666667,33.3333333333,33.3333333333
s062,55.5555555556,66.6666666667,22.2222222222
s063,38.8888888889,44.4444444444,40.740740740700005
s064,11.1111111111,66.6666666667,85.1851851852
s065,27.7777777778,100.0,37.037037037
s066,77.7777777778,22.2222222222,55.5555555556
s067,27.7777777778,0.0,3.7037037037
s068,55.5555555556,88.8888888889,40.740740740700005
s069,27.7777777778,22.2222222222,40.740740740700005
s070,44.4444444444,33.3333333333,40.740740740700005
s071,83.3333333333,33.3333333333,37.037037037
s073,61.111111111099994,22.2222222222,3.7037037037
s074,66.6666666667,44.4444444444,3.7037037037
